postal_cd,prefecture,city,town,full_address,longitude,latitude
947-0045,Niigata Prefecture,Ojiya City,Konosu Town,"Konosu-cho, Ojiya City, Niigata Prefecture",138.77638,37.34922
421-1302,Shizuoka Prefecture,"Aoi Ward, Shizuoka City",keyhole,"Aoi-ku, Shizuoka-shi, Shizuoka, Shizuoka City, Shizuoka Prefecture",138.2417,35.04563
616-8453,Kyoto,"Ukyo-ku, Kyoto",Saga Kiyotaki Otani Town,"Saga Kiyotaki Otani-cho, Ukyo-ku, Kyoto-shi, Kyoto",135.65086,35.04132
515-0113,Mie Prefecture,Matsusaka City,Ibuma town,"Izuma-cho, Matsusaka City, Mie Prefecture",136.60538,34.58638
028-6904,Iwate Prefecture,City,Johoji Town Ryoyo,"Ryojiro, Johoji-cho, Ninohe City, Iwate Prefecture",141.10944,40.17617
150-0001,Tokyo,Shibuya Ward,Shrimp in front of the shrine,"Jingumae, Shibuya-ku, Tokyo",139.70937,35.66818
287-0001,Chiba prefecture,Katori City,Sahara Ro,"Sahara Ro, Katori City, Chiba Prefecture",140.49776,35.90348
703-8265,Okayama Prefecture,"Naka-ku, Okayama City",Kurata,"Kurata, Naka-ku, Okayama City, Okayama Prefecture",133.96054,34.63658
444-0045,Aichi prefecture,Okazaki city,Yasuo East,"Yasuku-dori Higashi, Okazaki City, Aichi Prefecture",137.16444,34.95832
956-0057,Niigata Prefecture,"Akiha-ku, Niigata City",Niitsu Shitsukino,"Niigata City, Niigata City, Niigata City, Akiha-ku, Niitsu Shikitsu Kono",139.07768,37.77996
970-1377,Fukushima Prefecture,Iwaki city,Sanwa-cho,"Miwa-cho, Iwaki City, Fukushima Prefecture",140.71977,37.18188
321-4369,Tochigi Prefecture,Moka City,Kumakura,"Kumakura, Moka City, Tochigi Prefecture",139.99268,36.44904
939-0657,Toyama Prefecture,"Irizen-cho, Shimonokawa-gun",East Fox,"Tozen-cho, Shimoshinokawa-gun, Toyama Prefecture",137.46535,36.91956
620-0311,Kyoto,Fukuchiyama City,Oe-cho Tatehara,"Tatehara, Oe-cho, Fukuchiyama-shi, Kyoto",135.12965,35.39263
649-6219,Wakayama Prefecture,Iwade,North Pond,"Kita Oike, Iwade City, Wakayama Prefecture",135.32507,34.27945
061-1276,Hokkaido,Kitahiroshima City,Omagi Midorigaoka,"Kitahiroshima City, Hokkaido Omagari Midorioka",141.48079,42.97758
526-0217,Shiga Prefecture,Nagahama City,Town town,"Nagahama City, Shiga Prefecture",136.32005,35.43755
602-0915,Kyoto,"Kamigyo-ku, Kyoto",Sacred town,"Sanko-cho, Kamigyo-ku, Kyoto-shi, Kyoto",135.75592,35.02504
542-0061,Osaka prefecture,"Chuo-ku, Osaka",Andoji-cho,"Antoji-cho, Chuo-ku, Osaka-shi, Osaka",135.51898,34.67622
964-0907,Fukushima Prefecture,Nihonmatsu City,Hosono,"Honomatsu City, Fukushima Prefecture Hosono",140.4287,37.60647
677-0067,Hyogo prefecture,Nishiwaki City,Meirakuji Town,"Meirakura-cho, Nishiwaki City, Hyogo Prefecture",134.90254,34.97548
108-6109,Tokyo,Minato-ku,South of the portion,"Minato-ku, Tokyo Konan Minaminagawa Intercity Building 9th floor",139.74522,35.634
210-0814,Kanagawa Prefecture,"Kawasaki-ku, Kawasaki",Taishimachi,"Kawasaki-ku, Kawasaki City, Kanagawa Prefecture",139.7327,35.53027
679-0316,Hyogo prefecture,Nishiwaki City,Kuroda Sho Town Daimon,"Daimon, Kuroda Sho-cho, Nishiwaki City, Hyogo Prefecture",134.98898,35.02403
241-0824,Kanagawa Prefecture,"Asahi-ku, Yokohama",Minami Kibigaoka,"Minami Kibigaoka, Asahi-ku, Yokohama City, Kanagawa Prefecture",139.51404,35.45472
761-4145,Kagawa Prefecture,"Tonosho-cho, Shodame-gun",most,"Otabe, Tonosho-cho, Shodame-gun, Kagawa Prefecture",134.27771,34.53588
486-0942,Aichi prefecture,Kasugai City,Shinmei Town,"Shinmeicho, Kasugai City, Aichi Prefecture",136.95189,35.23486
905-0024,Okinawa Prefecture,Nago City,Dice,"Handa, Nago City, Okinawa Prefecture",127.97951,26.54075
400-0337,Yamanashi Prefecture,Southern Alps,Temple club,"Terabe, Southern Alps City, Yamanashi Prefecture",138.48863,35.6137
859-1205,Nagasaki Prefecture,Unzen City,Mizuho-cho Saigocho,"Saigocho, Mizuho-cho, Unzen City, Nagasaki Prefecture",130.25845,32.82931
529-1619,Shiga Prefecture,"Hino-cho, Gamo-gun",Sakuhara,"Sakura, Hino-cho, Gamo-gun, Shiga Prefecture",136.25641,35.04286
053-0853,Hokkaido,Tomakomai City,Hanazono-cho,"Hanazono-cho, Tomakomai City, Hokkaido",141.57356,42.63325
953-0114,Niigata Prefecture,Niigata City Nishika Ward,Rag,"Niigata City, Niigata City, Niigata-shi, Namigata",138.8632,37.73169
488-0853,Aichi prefecture,Owari Asahi City,Asahi-machi Hirokutake,"Hirokutsu, Asahi-machi, Owari Asahi City, Aichi Prefecture",137.01839,35.21296
763-0086,Kagawa Prefecture,Marugame City,Iino-cho Nishibun,"Nishibun, Iino-cho, Marugame City, Kagawa Prefecture",133.82947,34.2821
089-0362,Hokkaido,"Shimizu-cho, Kamikawa-gun",Mikage Higashi Nijo South,"Mikage Higashi Nijo Minami, Shimizu-cho, Kamikawa-gun, Hokkaido",142.938,42.94061
537-0021,Osaka prefecture,"Higashinari Ward, Osaka City",East and China book,"Higashinaka-ku, Osaka-shi, Osaka",135.54707,34.68097
163-6090,Tokyo,Shinjuku ward,Nishi-Shinjuku,"Shinjuku-ku, Tokyo Nishi-Shinjuku Sumitomo Real Estate Shinjuku Oak Tower",139.68762,35.68754
939-1911,Toyama Prefecture,Nanto City,Crack,"Kagawatari, Nanto City, Toyama Prefecture",136.96751,36.41365
920-2112,Ishikawa Prefecture,Hakusan City,Tsurugai Nikichi Town,"Tsurugai, Hakusan City, Ishikawa Prefecture",136.64014,36.44733
999-6602,Yamagata Prefecture,"Shonai-cho, Higashidagawa-gun",Sanzawa,"Sankezawa, Shonai-cho, Higashidagawa-gun, Yamagata Prefecture",139.96135,38.75937
807-1124,Fukuoka Prefecture,"Yawata Nishi-ku, Kitakyushu",field,"Hachimanishi-ku, Kitakyushu City, Fukuoka Prefecture",130.77374,33.80102
564-0027,Osaka prefecture,Suita City,Asahi Town,"Asahi Town, Suita City, Osaka Prefecture",135.52577,34.76199
872-0031,Oita Prefecture,Usa city,Okisu-cho,"Okisamachi, Usa City, Oita Prefecture",131.36409,33.56611
061-3213,Hokkaido,Ishikari City,Hanagawa Kita-Sanjo,"Hanagawa Kita-Sanjo, Ishikari, Hokkaido",141.30627,43.16446
805-0046,Fukuoka Prefecture,"Yawata Higashi-ku, Kitakyushu",Daunting,"Tashiro, Yawata Higashi-ku, Kitakyushu City, Fukuoka Prefecture",130.79456,33.81397
963-7733,Fukushima Prefecture,"Miharu-cho, Tamura-gun",Yamada,"Yamada, Miharu-cho, Tamura-gun, Fukushima Prefecture",140.45515,37.43067
088-1118,Hokkaido,"Atsukishi-cho, Atsukishi-gun",Wakatake-cho,"Wakatake-cho, Atsukishi-cho, Atsukishi-gun, Hokkaido",144.84067,43.03954
616-8183,Kyoto,"Ukyo-ku, Kyoto",Uzumasa Miyanoma Town,"Ukyo-ku, Kyoto-shi, Kyoto-shi, Kyoto",135.70055,35.01973
163-1330,Tokyo,Shinjuku ward,Nishi-Shinjuku,"Nishi-Shinjuku Island Tower, Shinjuku-ku, Tokyo 30th floor",139.68762,35.68754
959-3924,Niigata Prefecture,Murakami City,North-black river,"Kitakuro River, Murakami City, Niigata Prefecture",139.59438,38.44317
466-0014,Aichi prefecture,"Showa-ku, Nagoya",Higashihata Town,"Higashihata-cho, Showa-ku, Nagoya City, Aichi Prefecture",136.9283,35.15079
780-0815,Kochi Prefecture,Kochi City,Futaba Town,"Futaba-cho, Kochi City, Kochi Prefecture",133.5562,33.55643
786-0525,Kochi Prefecture,"Shimanto-cho, Takaoka-gun",Nono River,"Nonogawa, Shimanto-cho, Takaoka-gun, Kochi Prefecture",132.90526,33.19016
347-0056,Saitama,Kazo City,bank,"Kazo City, Saitama Prefecture Ichi",139.59412,36.12634
501-0123,Gifu Prefecture,Gifu City,Kagami Island West,"Gifu City, Gifu City, Gifu City, Kagamishima Nishi",136.71506,35.41191
231-0007,Kanagawa Prefecture,"Naka-ku, Yokohama-shi",Benten-dori,"Benten-dori, Naka-ku, Yokohama-shi, Kanagawa",139.64032,35.4467
771-6105,Tokushima,"Nagacho, Naka-gun",Wooden head,"Kito, Naka-cho, Naka-gun, Tokushima Prefecture",134.30806,33.8215
600-8183,Kyoto,"Shimogyo-ku, Kyoto",Ioyu-cho,"Ino-cho, Shimogyo-ku, Kyoto-shi, Kyoto",135.76183,34.99368
019-2123,Akita,Daisen City,Temple,"Daisen City, Akita Prefecture",140.33812,39.55202
969-6533,Fukushima Prefecture,"Aizu-Sakashita-cho, Kawanuma-gun",Undernogue,"Fukushima Prefecture, Kawanuma-gun, Aizuzaka-cho, Aizusaka-cho",139.83232,37.55737
309-1637,Ibaraki Prefecture,Kasama city,One garden,"Kasama City, Ibaraki Prefecture",140.20735,36.41323
343-0815,Saitama,Koshigaya City,Former Yanagida Town,"Moto Yanagida-cho, Koshigaya City, Saitama Prefecture",139.78653,35.88157
899-7300,Kagoshima prefecture,"Osaki-cho, Soo-gun",,"Osaki-cho, Soo-gun, Kagoshima Prefecture",131.00595,31.42773
410-0855,Shizuoka Prefecture,Numazu city,Thousand green towns,"Senimo Midoricho, Numazu City, Shizuoka Prefecture",138.8524,35.09185
329-3435,Tochigi Prefecture,"Nasu-cho, Nasu-gun",Pilot,"Mutsumiya, Nasu-cho, Nasu-gun, Tochigi Prefecture",140.15376,36.94839
731-3812,Hiroshima,"Aki Ota-cho, Yamagata-gun",Yukitani,"Aki Ota Town Yudani, Yamagata, Hiroshima Prefecture",132.22513,34.58092
069-1134,Hokkaido,"Yuni-cho, Yubari-gun",Mikawa-cho,"Mikawa-cho, Yuni-cho, Yubari-gun, Hokkaido",141.80486,42.94905
437-0024,Shizuoka Prefecture,Fukuroi City,Sanmon Town,"Sanmon-cho, Fukuroi City, Shizuoka Prefecture",137.92317,34.74208
044-0041,Hokkaido,"Kutchan Town, Abuta-gun",South Shichijo West,"Minami Shichojo, Kutian-cho, Abuta-gun, Hokkaido",140.75093,42.8945
633-0016,Nara Prefecture,Sakurai City,Ryudani,"Ryudani, Sakurai City, Nara Prefecture",135.88885,34.50849
952-1574,Niigata Prefecture,Sado City,Aikawa Marine Town,"Aikawa Kaisho-cho, Sado City, Niigata Prefecture",138.23882,38.02518
879-0105,Oita Prefecture,Nakatsu city,Inukamaru,"Inukamaru, Nakatsu City, Oita Prefecture",131.25246,33.56731
324-0203,Tochigi Prefecture,Otawara City,Temple inn,"Terajuku, Otawara City, Tochigi Prefecture",140.19405,36.91995
966-0817,Fukushima Prefecture,Kitakata City,3rd chicken,"3-chome, Kitakata City, Fukushima Prefecture",139.87114,37.65018
817-1523,Nagasaki Prefecture,Tsushima City,"Seta, Kami-kun","Seta, Kami-ku, Tsushima City, Nagasaki Prefecture",129.38768,34.56256
680-1141,Tottori prefecture,Tottori City,Brewery,"Kurata, Tottori City, Tottori Prefecture",134.22183,35.46003
929-1342,Ishikawa Prefecture,Hakui-gun Horsei Shizu-cho,Wheat,"Hakui-gun, Ishikawa Prefecture Horsei Mizu Town",136.75642,36.83226
018-3132,Akita,Noshiro City,Futatsui town,"Futatsui Town, Noshiro City, Akita Prefecture",140.21773,40.22158
987-1103,Miyagi Prefecture,Ishinomaki city,North village,"Kitamura, Ishinomaki City, Miyagi Prefecture",141.18619,38.48341
497-0044,Aichi prefecture,"Kanie-cho, Kaifu-gun",Kanie Nitta,"Kanie Nitta, Kanie-cho, Kaifu-gun, Aichi Prefecture",136.78185,35.12144
870-1215,Oita Prefecture,Oita city,Lineage,"Kamizume, Oita City, Oita Prefecture",131.47246,33.12804
428-0306,Shizuoka Prefecture,"Kawane Nomachi, Haibara-gun",Tanoguchi,"Tanoguchi, Kawane, Haibara-gun, Shizuoka Prefecture",138.10242,35.04844
441-1324,Aichi prefecture,Shinshiro City,Uchimido,"Shinshiro City, Aichi Prefecture Uchido",137.51381,34.90049
248-0024,Kanagawa Prefecture,Kamakura city,Inamura Gaki,"Inamura Gasaki, Kamakura City, Kanagawa Prefecture",139.52557,35.30405
989-5601,Miyagi Prefecture,Kurihara City,Shiba Himekari,"Kurihara City, Miyagi Prefecture Shiami Karikari",141.07912,38.77422
777-0302,Tokushima,Mima City,Kiyahira,"Kiyahira Shimohina, Mima City, Tokushima Prefecture",134.1743,33.92131
620-0214,Kyoto,Fukuchiyama City,Jinno Article,"Kaminojo, Fukuchiyama City, Kyoto Prefecture",135.06741,35.39273
336-0016,Saitama,"Minami-ku, Saitama City",Otanimaba,"Otaniba, Minami-ku, Saitama City, Saitama Prefecture",139.67297,35.85431
041-0405,Hokkaido,Hakodate City,Kawakami Town,"Kawakami-cho, Hakodate, Hokkaido",141.06734,41.77066
528-0063,Shiga Prefecture,Koga city,"Shimoyama, Mizuguchi-cho","Shimoyama, Mizuguchi-cho, Koga City, Shiga Prefecture",136.13321,34.99607
871-0207,Oita Prefecture,Nakatsu city,Higashiyabake Town Higashiyagata,"Higashiyaga-cho, Nakatsu-shi, Oita, Higashiyagata",131.23236,33.47309
837-0925,Fukuoka Prefecture,Omuta City,White river,"Shirakawa, Omuta City, Fukuoka Prefecture",130.46829,33.04544
933-0878,Toyama Prefecture,Takaoka City,East-Kazu,"Tojo Seki, Takaoka City, Toyama Prefecture",137.01622,36.73406
988-0836,Miyagi Prefecture,Kesennuma City,Ashable,"Kosenuma City, Miyagi Prefecture Ko Ashi",141.48683,38.89976
985-0012,Miyagi Prefecture,Shiogama City,Ashikiri Town,"Ashiki-cho, Shiogama City, Miyagi Prefecture",141.03217,38.30448
620-0831,Kyoto,Fukuchiyama City,Iwasaki,"Iwasaki, Fukuchiyama City, Kyoto Prefecture",135.18903,35.26286
478-0031,Aichi prefecture,Chita City,Asahi,"Asahi, Chita City, Aichi Prefecture",136.84171,34.95572
634-0823,Nara Prefecture,Kashihara City,Hokuetchi Town,"Kitahara City, Kashihara City, Nara Prefecture",135.77574,34.47533
617-0832,Kyoto,Nagaokakyo City,Eastern gods,"Nagaokakyo City, Kyoto Prefecture Higashi Shinka",135.70287,34.92425
327-0515,Tochigi Prefecture,Sano City,Kakihira-cho,"Kakihira-cho, Sano City, Tochigi Prefecture",139.5549,36.46168
099-0416,Hokkaido,"Tokimachi-cho, Monbetsu-gun",South of Odori,"Odori Minami, Engaru-cho, Monbetsu-gun, Hokkaido",143.52303,44.05812
350-0813,Saitama,Kawagoe City,Hiratsuka Nitta,"Hiratsuka Nitta, Kawagoe City, Saitama Prefecture",139.46227,35.95506
501-3742,Gifu Prefecture,Minoichi,Town town,"Tonomachi, Mino City, Gifu Prefecture",136.91356,35.54937
969-6407,Fukushima Prefecture,"Aizu Misato-cho, Onuma-gun",Room,"Kamihira, Aizu Misato-cho, Onuma-gun, Fukushima Prefecture",139.74844,37.45555
088-0566,Hokkaido,"Shiranuka-cho, Shiruka-gun",Common road,"Shiranuka-cho, Shiranuka-gun, Hokkaido General Road Miyashita",144.14189,42.98618
819-1141,Fukuoka Prefecture,Itoshima city,Brewery,"Kurocho, Itoshima City, Fukuoka Prefecture",130.2233,33.5373
316-0024,Ibaraki Prefecture,Hitachi City,Mizuki-cho,"Mizuki-cho, Hitachi City, Ibaraki Prefecture",140.63113,36.51849
752-0975,Yamaguchi Prefecture,Shimonoseki city,Nagabufuhama Town,"Chofuhama-cho, Shimonoseki City, Yamaguchi Prefecture",130.98933,33.99823
515-2525,Mie Prefecture,Tsu city,Ishibashi Ichishimachi,"Ishibashi, Ichishimachi, Tsu City, Mie Prefecture",136.40643,34.65926
987-2185,Miyagi Prefecture,Kurihara City,Takashimizu Shinmachi,"Takashimizu Shinmachi, Kurihara City, Miyagi Prefecture",141.00365,38.66034
739-1805,Hiroshima,Akitakada City,Takamiya Town Harada,"Harata, Takamiya-cho, Akitakada City, Hiroshima Prefecture",132.69968,34.73387
441-1387,Aichi prefecture,Shinshiro City,Northern field,"Kitahata, Shinshiro City, Aichi Prefecture",137.49019,34.89826
592-0013,Osaka prefecture,Takaishi City,Stone,"Takaishi City, Osaka Prefecture",135.44568,34.51331
836-0883,Fukuoka Prefecture,Omuta City,Mawatari-cho,"Omuta City, Omuta City, Fukuoka Prefecture",130.46623,33.01309
601-8172,Kyoto,"Minami-ku, Kyoto",Kamitotababe Kabuchi Town,"Kamotobababe Kabuchi-cho, Minami-ku, Kyoto-shi, Kyoto",135.74174,34.9621
602-8451,Kyoto,"Kamigyo-ku, Kyoto",Hishiya-cho,"Hishiya-cho, Kamigyo-ku, Kyoto-shi, Kyoto",135.74626,35.02929
959-1306,Niigata Prefecture,Kamo City,Cormorant,"Umori, Kamo City, Niigata Prefecture",139.00041,37.69213
981-2186,Miyagi Prefecture,"Marumori-cho, Izu-gun",Hayasaka,"Hayasaka, Marumori-cho, Izu-gun, Miyagi Prefecture",140.66718,37.89724
917-0351,Fukui prefecture,Obama City,Valley,"Tanotani, Obama City, Fukui Prefecture",135.83427,35.5493
289-0334,Chiba prefecture,Katori City,River head,"Kawato, Katori City, Chiba Prefecture",140.62201,35.83802
515-0842,Mie Prefecture,Matsusaka City,Ramping town,"Maki-cho, Matsusaka City, Mie Prefecture",136.50404,34.57579
824-0049,Fukuoka Prefecture,City,Fukuhara,"Fukuhara, Yukibashi City, Fukuoka Prefecture",130.96864,33.70324
732-0001,Hiroshima,"Higashi-ku, Hiroshima",Soda Tosaka,"Hiroshima-shi, Hiroshima-shi Tosaka Sota",132.48972,34.44031
307-0034,Ibaraki Prefecture,Yuki City,Shinjuku Nitta,"Shinjuku Nitta, Yuki City, Ibaraki Prefecture",139.85381,36.2275
710-1306,Okayama Prefecture,Kurashiki City,Arii Mabi Town,"Arai, Mabi-cho, Kurashiki City, Okayama Prefecture",133.70464,34.6343
370-0071,Gunma Prefecture,Takasaki City,Koyagi Town,"Koyagicho, Takasaki City, Gunma Prefecture",139.01437,36.36195
737-0013,Hiroshima,Kure City,Place,Hiroshima Prefecture Kure Municipal Ba,132.55048,34.21767
286-0041,Chiba prefecture,Narita City,Iida-cho,"Iida-cho, Narita City, Chiba Prefecture",140.29965,35.76558
945-0306,Niigata Prefecture,"Kariwa-mura, Kariwa-gun",Tokaichi,"Tokaichi, Kariwa Village, Kariwa-gun, Niigata Prefecture",138.62788,37.43613
620-1302,Kyoto,Fukuchiyama City,Sanwa-cho's rise,"Sanwa-cho, Fukuchiyama-shi, Kyoto",135.28049,35.25674
875-0076,Oita Prefecture,Usuki city,East God,"Higashijinno, Usuki City, Oita Prefecture",131.77812,33.04164
671-2503,Hyogo prefecture,Shiso city,Yamazaki Town Otani,"Otani, Yamazaki-cho, Shiso City, Hyogo Prefecture",134.52939,35.05949
286-0812,Chiba prefecture,Narita City,Water,"Mizukake, Narita City, Chiba Prefecture",140.33322,35.84744
286-0107,Chiba prefecture,Narita City,Horinouchi,"Horinouchi, Narita City, Chiba Prefecture",140.37752,35.79115
290-0535,Chiba prefecture,Ichihara city,Asahihara,"Asahara, Ichihara City, Chiba Prefecture",140.16388,35.26492
734-0007,Hiroshima,"Minami-ku, Hiroshima",Everything in reality,"Minami-ku, Hiroshima-shi, Hiroshima",132.46806,34.37914
100-6117,Tokyo,Chiyoda Ward,Nagata Town,"17th floor of Sanno, Nagata-cho, Chiyoda-ku, Tokyo",139.74631,35.6759
677-0000,Hyogo prefecture,Nishiwaki City,,"Nishiwaki City, Hyogo Prefecture",134.96921,34.9939
616-8162,Kyoto,"Ukyo-ku, Kyoto",Uzumasa Beeoka Town,"Ukyo-ku, Kyoto-shi, Kyoto, Ukyo-ku, Hata Hachioka",135.70647,35.01611
311-3800,Ibaraki Prefecture,Municipalities,,Ibaraki prefecture,140.48772,35.99006
949-6434,Niigata Prefecture,Minami Uonuma City,Tennozawa,"Amanozawa, Minami Uonuma City, Niigata Prefecture",138.83932,37.03316
106-0041,Tokyo,Minato-ku,Linen,"Azabudai, Minato-ku, Tokyo",139.73866,35.6603
516-0079,Mie Prefecture,Ise city,Old man,"Large world, Ise City, Mie Prefecture",136.70261,34.49289
321-3705,Tochigi Prefecture,"Mogi-cho, Haga-gun",Entering home,"Motegi-cho, Haga-gun, Tochigi Prefecture",140.20491,36.59367
400-0203,Yamanashi Prefecture,Southern Alps,Tokunaga,"Tokunaga, Southern Alps, Yamanashi Prefecture",138.48732,35.65471
696-1137,Shimane Prefecture,"Misato-cho, Ochi-gun",Haze valley,"Hazeya, Misato-cho, Ochi-gun, Shimane Prefecture",132.59109,35.07517
096-0072,Hokkaido,Nayoroichi,Good luck,Hokkaido name Yori City Toyoe,142.44427,44.33153
861-4226,Kumamoto Prefecture,"Minami-ku, Kumamoto","Tsukahara, Jonan-cho","Kumamoto Prefecture Kumamoto City, Minami-ku, Jonan-cho, Jonan-cho, Minami-ku",130.7406,32.69078
979-2441,Fukushima Prefecture,Minamisoma City,"Kakukawahara, Kashima-ku","Kadokawahara, Kashima-ku, Minamisoma City, Fukushima Prefecture",140.93492,37.72579
885-0111,Miyazaki prefecture,Metropolitan,Confectionery town,"Miyakonojo City, Miyazaki Prefecture Confectionery",131.04514,31.78021
939-2434,Toyama Prefecture,Toyama City,Yao Town Island,"Yao-cho, Toyama City, Toyama Prefecture",137.09424,36.48462
515-0042,Mie Prefecture,Matsusaka City,Nijigaoka Town,"Nijigaoka Town, Matsusaka City, Mie Prefecture",136.55508,34.54288
771-1271,Tokushima,"Aizumi-cho, Itano-gun",Won,"Katsumi Katsujima, Aizumi-cho, Itano-gun, Tokushima Prefecture",134.51234,34.12191
320-0831,Tochigi Prefecture,Utsunomiya City,New town,"Shinmachi, Utsunomiya City, Tochigi Prefecture",139.87479,36.54961
441-8112,Aichi prefecture,Toyohashi City,Makino Town,"Makino-cho, Toyohashi City, Aichi Prefecture",137.40219,34.73652
399-0426,Nagano Prefecture,"Tatsuno-cho, Kamiina-gun",Parlor,"Miyagi, Tatsuno-cho, Kamiina-gun, Nagano Prefecture",137.98759,35.98223
920-0374,Ishikawa Prefecture,Kanazawa city,Kamiyasuhara-cho,"Kamiyasuhara-cho, Kanazawa City, Ishikawa Prefecture",136.58943,36.56257
065-0006,Hokkaido,"Higashi-ku, Sapporo",Northern Rokujo East,"10-chome, Kita-Rokujo Higashi-ku, Higashi-ku, Sapporo, Hokkaido",141.37328,43.07126
483-8154,Aichi prefecture,Gangnam City,Eastern Minamisan-cho east,"Higashi, Minamiyama-cho, Gangnam City, Aichi Prefecture",136.88142,35.31511
999-7124,Yamagata Prefecture,Tsuruoka City,Dynasty,"Makiyo, Tsuruoka City, Yamagata Prefecture",139.60161,38.58693
586-0075,Osaka prefecture,Kawachi Nagano City,Oya boat Nakamachi,"Kawachi Nagano City, Kawachi Nagano City, Osaka Prefecture",135.55977,34.41965
860-0083,Kumamoto Prefecture,"Kita-ku, Kumamoto",Okubo,"Okubo, Kita-ku, Kumamoto City, Kumamoto Prefecture",130.71133,32.84464
927-1468,Ishikawa Prefecture,Suzu City,Inside Misaki Town,"Inside Misaki-cho, Suzu City, Ishikawa Prefecture",137.33459,37.46486
949-3132,Niigata Prefecture,Joetsu City,"Yonekura Nitta, Ogata Ward","Yonekura Nitta, Ogata-ku, Joetsu City, Niigata Prefecture",138.36391,37.2212
522-0055,Shiga Prefecture,Hikone City,Nose Town,"Nose-cho, Hikone City, Shiga Prefecture",136.23419,35.25206
948-0057,Niigata Prefecture,Tokamachi City,Kasukamachi,"Kasuga-cho, Tokamachi City, Niigata Prefecture",138.75037,37.13196
048-1321,Hokkaido,"Rankoshi-cho, Isoya-gun",Kelp hot spring,"Kelpu Onsen, Rankoshi-cho, Isoya-gun, Hokkaido",140.57578,42.79231
384-1305,Nagano Prefecture,"Minamimaki Village, Minamisaku-gun",Mt. Nobe,"Minamimaki Village, Minami-Saku-gun, Nagano Prefecture",138.46658,35.94851
950-1216,Niigata Prefecture,"Minami-ku, Niigata",Shirane Nonai Seven Inn,"Niigata City, Niigata City, Niigata City, Minami-ku, Shirane Nonai",139.02354,37.76426
839-0826,Fukuoka Prefecture,Kurume City,Yamamoto-cho ear payment,"Yamamoto-cho, Kurume City, Fukuoka Prefecture",130.60802,33.30476
028-7503,Iwate Prefecture,Hachimantai City,Nakada,"Nakata, Hachimantai City, Iwate Prefecture",141.09131,40.12685
016-0874,Akita,Noshiro City,Swamp,"Nanuma-shi, Akita, Nanuma-shi, Akita",140.01756,40.18801
649-1113,Wakayama Prefecture,"Yura-cho, Hidaka-gun",Anodo,"Oto, Yura-cho, Hidaka-gun, Wakayama Prefecture",135.1178,33.95207
690-0878,Shimane Prefecture,Matsue,Sagi-cho,"Sunako-cho, Matsue City, Shimane Prefecture",133.04358,35.47321
311-1121,Ibaraki Prefecture,Mito City,Shimada Town,"Shimada-cho, Mito City, Ibaraki Prefecture",140.54916,36.32118
030-0954,Aomori Prefecture,Aomori city,Komagome,"Komagome Tsukimino, Aomori City, Aomori Prefecture",140.79353,40.79721
669-6127,Hyogo prefecture,Toyooka City,In the field,"Hatagami, Toyooka City, Hyogo Prefecture",134.85197,35.60102
584-0052,Osaka prefecture,Tondabayashi City,Sabi,"Sabi, Tondabayashi City, Osaka Prefecture",135.60529,34.46995
014-0379,Akita,Senboku City,Kakodate-cho Nishikitao,"Senboku City, Akita Prefecture Kakodate-cho Nishikitaino",140.56104,39.58522
036-0318,Aomori Prefecture,Kuroishi City,Iwaki-cho,"Iwaki-cho, Kuroishi City, Aomori Prefecture",140.59782,40.65296
950-1435,Niigata Prefecture,"Minami-ku, Niigata",Many years,"Nanigata City, Niigata Prefecture Minami-ku",139.04462,37.73695
795-0083,Ehime Prefecture,Ozu City,Sugata-cho Otake,"Otake, Sugata-cho, Ozu-shi, Ehime",132.57646,33.48288
038-2327,Aomori Prefecture,"Fukaura-cho, Nishizugaru-gun",Work,"Akira, Fukaura-cho, Nishizu-gun, Aomori Prefecture",139.87234,40.60181
629-3436,Kyoto,Kyotango City,Kumihama Town Oi,"Oi, Kumihama-cho, Kyotango-shi, Kyoto",134.95181,35.61304
781-3526,Kochi Prefecture,"Tosa-cho, Tosa-gun",Kamitsugu River,"Kamitsugawa, Tosa-cho, Tosa-gun, Kochi Prefecture",133.49275,33.81029
135-0031,Tokyo,Koto Ward,Saga,"Saga, Koto-ku, Tokyo",139.79021,35.67708
360-0237,Saitama,Kumagaya City,Nagai Ota,"Nagai Ota, Kumagaya City, Saitama Prefecture",139.34087,36.22355
639-2164,Nara Prefecture,Katsuragi City,Nagao,"Nagao, Katsuragi City, Nara Prefecture",135.71051,34.51078
600-8164,Kyoto,"Shimogyo-ku, Kyoto",Kamiyanagi-cho,"Kamiyanagi-cho, Shimogyo-ku, Kyoto-shi, Kyoto",135.75752,34.99557
867-0063,Kumamoto Prefecture,Minamata City,Kirimachi,"Kirimachi, Minamata City, Kumamoto Prefecture",130.40266,32.21506
529-1551,Shiga Prefecture,Higashiomi City,Miyagawa Town,"Miyagawa-cho, Higashiomi City, Shiga Prefecture",136.15776,35.0409
949-8562,Niigata Prefecture,Tokamachi City,Anyoji Temple,"Anyoji Temple, Tokamachi City, Niigata Prefecture",138.69769,37.0897
289-2166,Chiba prefecture,Sosa City,new,"New Sosa City, Chiba Prefecture",140.50758,35.7014
506-0009,Gifu Prefecture,Alpine city,Hanaoka Town,"Hanaoka-cho, Takayama City, Gifu Prefecture",137.25198,36.14363
